id,paper_id,primers,longitude,latitude,continent,sample_type,its1_extracted,its2_extracted,its_total,biome,mat,map,ph,year_of_start,year_of_end,abundances
8654,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,24.507,59.0409,Europe,soil,5132,4082,9214,forest,5.8,696,NA_,2015,2015,9
8665,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,22.1226,58.2663,Europe,soil,5059,4570,9629,forest,6.8,626,NA_,2016,2016,3
8684,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,24.7292,59.3969,Europe,soil,1759,2060,3819,forest,5.8,629,4.84,2014,2014,2
8689,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,22.4725,58.7884,Europe,soil,9951,8570,18521,forest,6.8,631,NA_,2015,2015,2
8694,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.2946,58.2507,Europe,soil,5958,5702,11660,forest,5.8,635,NA_,2017,2017,1
8697,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.3495,58.7824,Europe,soil,5518,5201,10719,forest,5.3,634,NA_,2017,2017,3
8708,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.9163,57.9331,Europe,soil,6819,6574,13393,forest,5.6,635,NA_,2017,2017,24
8715,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,25.0636,58.7226,Europe,soil,3262,2732,5994,forest,5.8,732,4.86,2015,2015,5
8716,Bahram_2020_AZ,ITS9MUNngs/ITS4ngsUni,25.4553,58.3381,Europe,soil,3692,2985,6677,forest,5.6,660,6.19,2016,2016,2
8718,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.3791,57.9879,Europe,soil,4724,4222,8946,forest,5.1,710,NA_,2017,2017,1
8719,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,27.3265,58.2757,Europe,soil,2341,2138,4479,forest,5.8,632,NA_,2017,2017,7
8721,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,25.7725,58.032,Europe,soil,2229,1910,4139,anthropogenic,5.5,684,NA_,2015,2015,2
8735,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.5597,58.3367,Europe,soil,5891,5514,11405,forest,5.6,630,NA_,2019,2019,16
8737,Tedersoo_2021_TJ,ITS9MUNngs/ITS4ngsUni,26.1971,58.5414,Europe,soil,2207,1615,3822,forest,5.6,649,NA_,2015,2015,5
